Turn,Health 1.1,Health 1.2,Health 1.3,Health 1.4,Health 1.5,Health 1.6,Health 2.1,Health 2.2,Health 2.3,Health 2.4,Health 2.5,Health 2.6,Species 1.1,Species 1.2,Species 1.3,Species 1.4,Species 1.5,Species 1.6,Species 2.1,Species 2.2,Species 2.3,Species 2.4,Species 2.5,Species 2.6,Active 1,Active 2,Item 1,Item 2,Atk Stage 1,Def Stage 1,SpA Stage 1,SpD Stage 1,Speed Stage 1,Atk Stage 2,Def Stage 2,SpA Stage 2,SpD Stage 2,Speed Stage 2,Seeds 1,Seeds 2,Status 1.1,Status 1.2,Status 1.3,Status 1.4,Status 1.5,Status 1.6,Status 2.1,Status 2.2,Status 2.3,Status 2.4,Status 2.5,Status 2.6,Effective 1,Effective 2,Taunt 1,Taunt 2,Encore 1,Encore 2,Disable 1,Disable 2,Substitute 1,Substitute 2,Mega 1,Mega 2,ZMove 1,ZMove 2,Rocks 1,Rocks 2,Spikes 1,Spikes 2,TSpikes 1,TSpikes 2,Webs 1,Webs 2,Reflect 1,Reflect 2,LScreen 1,LScreen 2,Weather,Terrain,Room,Winner
1,100,100,100,92,100,100,100,100,100,100,100,100,196,663,227,113,195,465,478,530,609,18,286,461,113,530,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,100,100,100,92,100,100,100,100,100,100,100,100,196,663,227,113,195,465,478,530,609,18,286,461,227,530,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,100,100,98,92,100,100,100,74,100,100,100,100,196,663,227,113,195,465,478,530,609,18,286,461,227,530,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,100,100,98,92,100,100,100,74,100,100,100,100,196,663,227,113,195,465,478,530,609,18,286,461,227,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,100,100,98,83,100,100,100,74,100,100,100,100,196,663,227,113,195,465,478,530,609,18,286,461,113,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,100,100,98,66,100,100,100,74,100,100,100,100,196,663,227,113,195,465,478,530,609,18,286,461,113,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,100,100,98,100,100,100,100,71,100,100,100,100,196,663,227,113,195,465,478,530,609,18,286,461,113,530,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,100,100,95,100,100,100,100,44,100,100,100,100,196,663,227,113,195,465,478,530,609,18,286,461,227,530,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,100,100,78,100,100,100,100,44,100,100,100,38,196,663,227,113,195,465,478,530,609,18,286,461,227,461,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,100,100,96,100,100,100,100,44,100,100,100,28,196,663,227,113,195,465,478,530,609,18,286,461,227,461,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,100,100,100,100,100,100,100,44,100,100,100,28,196,663,227,113,195,465,478,530,609,18,286,461,227,478,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,100,100,100,100,100,88,100,44,100,100,100,28,196,663,227,113,195,465,478,530,609,18,286,461,465,478,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,100,100,100,100,100,68,100,44,100,63,100,28,196,663,227,113,195,465,478,530,609,18,286,461,465,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,100,100,100,85,100,68,100,44,100,63,100,28,196,663,227,113,195,465,478,530,609,18,286,461,113,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,100,100,100,68,100,68,100,44,100,63,100,28,196,663,227,113,195,465,478,530,609,18,286,461,113,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,100,100,100,100,100,68,100,44,100,63,100,28,196,663,227,113,195,465,478,530,609,18,286,461,113,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,100,100,100,92,100,68,100,14,100,63,100,28,196,663,227,113,195,465,478,530,609,18,286,461,113,530,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,100,100,100,92,100,68,100,14,100,63,100,28,196,663,227,113,195,465,478,530,609,18,286,461,227,530,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,100,100,96,92,100,68,100,0,100,38,100,28,196,663,227,113,195,465,478,530,609,18,286,461,227,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20,100,100,96,71,100,68,100,0,100,38,100,28,196,663,227,113,195,465,478,530,609,18,286,461,113,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21,100,100,96,100,100,68,100,0,100,38,100,28,196,663,227,113,195,465,478,530,609,18,286,461,113,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22,100,100,96,83,100,68,100,0,100,5,100,28,196,663,227,113,195,465,478,530,609,18,286,461,113,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23,100,100,96,100,100,68,100,0,100,5,100,28,196,663,227,113,195,465,478,530,609,18,286,461,113,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,100,100,96,84,100,68,100,0,100,5,100,28,196,663,227,113,195,465,478,530,609,18,286,461,113,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,100,100,96,100,100,68,100,0,100,5,100,28,196,663,227,113,195,465,478,530,609,18,286,461,113,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26,100,100,96,84,100,68,100,0,100,0,82,0,196,663,227,113,195,465,478,530,609,18,286,461,113,286,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27,100,100,96,84,100,53,100,0,100,0,82,0,196,663,227,113,195,465,478,530,609,18,286,461,465,286,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28,100,100,96,84,100,16,100,0,100,0,24,0,196,663,227,113,195,465,478,530,609,18,286,461,465,286,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29,100,100,63,84,100,16,100,0,100,0,8,0,196,663,227,113,195,465,478,530,609,18,286,461,227,286,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30,100,100,51,84,100,0,100,0,100,0,8,0,196,663,227,113,195,465,478,530,609,18,286,461,227,286,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
31,100,100,79,84,100,0,88,0,100,0,0,0,196,663,227,113,195,465,478,530,609,18,286,461,227,478,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32,100,100,67,84,100,0,94,0,100,0,0,0,196,663,227,113,195,465,478,530,609,18,286,461,227,478,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
33,100,51,0,84,100,0,94,0,59,0,0,0,196,663,227,113,195,465,478,530,609,18,286,461,663,609,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
34,100,0,0,84,94,0,94,0,13,0,0,0,196,663,227,113,195,465,478,530,609,18,286,461,195,609,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
35,100,0,0,84,40,0,82,0,0,0,0,0,196,663,227,113,195,465,478,530,609,18,286,461,195,478,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
36,100,0,0,84,34,0,88,0,0,0,0,0,196,663,227,113,195,465,478,530,609,18,286,461,195,478,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
37,88,0,0,84,0,0,94,0,0,0,0,0,196,663,227,113,195,465,478,530,609,18,286,461,196,478,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
38,93,0,0,84,0,0,100,0,0,0,0,0,196,663,227,113,195,465,478,530,609,18,286,461,196,478,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
39,76,0,0,84,0,0,100,0,0,0,0,0,196,663,227,113,195,465,478,530,609,18,286,461,196,478,1,1,0,0,2,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
40,82,0,0,84,0,0,100,0,0,0,0,0,196,663,227,113,195,465,478,530,609,18,286,461,196,478,1,1,0,0,3,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
41,74,0,0,84,0,0,100,0,0,0,0,0,196,663,227,113,195,465,478,530,609,18,286,461,196,478,1,1,0,0,4,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
42,68,0,0,84,0,0,100,0,0,0,0,0,196,663,227,113,195,465,478,530,609,18,286,461,196,478,1,1,0,0,5,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
43,64,0,0,84,0,0,100,0,0,0,0,0,196,663,227,113,195,465,478,530,609,18,286,461,196,478,1,1,0,0,6,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
44,64,0,0,84,0,0,0,0,0,0,0,0,196,663,227,113,195,465,478,530,609,18,286,461,196,478,1,1,0,0,6,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
